HospitalID,Hospital
200453,Dudley
200454,Bass Plc
200455,Willis
200456,Hunt Pope
200457,Gray
200458,Hensley
200459,Hanson
200460,Moore-Woods
200461,Moore-Franco
200462,Hamilton
200463,Burke Group
200464,Anderson Llc
200465,Sims-Jimenez
200466,Holloway Plc
200467,Cain-Stone
200468,Garner Group
200469,Ltd Logan
200470,Bishop Plc
200471,Lewis-Mitchell
200472,Campbell Sons
200473,James Plc
200474,Colon-Meyer
200475,Woods Liu
200476,Berry
200477,Llc Clayton
200478,Le-Hawkins
200479,Martinez Taylor Lopez
200480,Williams Group
200481,Schmidt-Douglas
200482,Ltd Fleming
200483,Smith Brown Wallace
200484,Boyer Inc
200485,Miranda-Collins
200486,Hoffman
200487,Group Ortega
200488,Mitchell
200489,Vasquez
200490,Chaney
200491,Villa-Simpson
200492,Llc Haynes
200493,Inc Cummings
200494,Downs-Stephens
200495,Carson
200496,Nielsen
200497,Buchanan
200498,Hicks-Perez
200499,Wilson
200500,Ortiz
200501,Berg-Mcconnell
200502,Gilbert Ltd
200503,Gutierrez-Webster
200504,Cooley-Reid
200505,Davenport Davis Hobbs
200506,Thompson-Becker
200507,Mitchell Inc
200508,Mack
200509,Fowler
200510,Johnson Garcia
200511,Anthony
200512,Young Powell Mitchell
200513,Bishop Inc
200514,Coleman-Dawson
200515,Cunningham-King
200516,Anderson Plc
200517,Freeman King Hodges
200518,Sons Wilson
200519,Woodward Ltd
200520,Powell Branch Osborn
200521,Brown Brown
200522,Sanders
200523,Harris-Oconnor
200524,Paul Richardson Haynes
200525,Patterson-Lee
200526,Yang Fox Scott
200527,Burch
200528,Sexton Sandoval
200529,Delgado
200530,Bennett
200531,Garza Group
200532,Olson
200533,Andrade
200534,Dixon
200535,Fisher Inc
200536,Farrell-Lyons
200537,Greer Cain
200538,Turner Ltd
200539,Sherman Inc
200540,Garcia Wade Richardson
200541,White-Graham
200542,Miller Sons
200543,Mullins Lara
200544,King
200545,Vega Jones
200546,Alvarez-Cruz
200547,Walker Cisneros
200548,Adams
200549,Ltd Lewis
200550,Esparza-Martinez
200551,Baker Hernandez
200552,Group Lopez
200553,Le Martin Young
200554,Plc Cook
200555,Davis Hill
200556,Johnson-Gray
200557,Garcia Saunders
200558,Dennis-Roth
200559,Mcgee Patton Aguirre
200560,Foster-Thomas
200561,Group Mann
200562,Martinez-Strickland
200563,Shaw Tapia
200564,Morris-Campbell
200565,Anderson Morton
200566,Olson Llc
200567,Juarez
200568,Ramos Hansen Clark
200569,Plc Aguirre
200570,Nelson Baldwin
200571,Boyd
200572,Martinez
200573,Moore White
200574,Barker
200575,Costa Hahn
200576,Higgins Galvan
200577,Flores-Roman
200578,Moon Boyd
200579,Inc Harmon
200580,Elliott Jones Hinton
200581,Sons Mckinney
200582,Carroll-Howard
200583,Park
200584,Garcia Lam
200585,Chavez Valenzuela
200586,Gutierrez
200587,Hill-Hernandez
200588,Skinner Llc
200589,Inc Cox
200590,Perez Sons
200591,Parker Turner
200592,Houston
200593,Wilson-Chen
200594,Boone-Duffy
200595,Reid-Simmons
200596,Dunn-Bentley
200597,Inc Cherry
200598,Zavala-Fernandez
200599,Jones-Fleming
200600,Christian-Hall
200601,Llc Cabrera
200602,Delacruz
200603,Kramer
200604,Cervantes-Herrera
200605,Garrison-Mcfarland
200606,Warren-Brown
200607,Ruiz Group
200608,Anderson-Brown
200609,Hull Sons
200610,Oliver Mcdonald
200611,Lara-Allen
200612,Group Summers
200613,Phillips Medina
200614,Rivera
200615,Llc Flores
200616,Inc Pace
200617,Garcia-Robinson
200618,Snow-Day
200619,Inc Rangel
200620,Irwin-Kaufman
200621,Colon
200622,Peterson
200623,Rodriguez Murphy
200624,Frederick
200625,Jones Garcia
200626,Fuentes Rogers Gill
200627,Group Schneider
200628,Sandoval-Bennett
200629,Young Ltd
200630,Lopez-Brooks
200631,Leblanc Conway
200632,Holt
200633,Ltd Roberts
200634,Carter Sons
200635,Rhodes Lang
200636,Poole Llc
200637,Hansen-Torres
200638,Park-Douglas
200639,Ruiz
200640,Scott Mitchell
200641,Rodriguez Gallegos Henry
200642,Ltd Miller
200643,Turner Bradford
200644,Allison
200645,Goodwin Ltd
200646,Carrillo-Price
200647,Sons Lee
200648,Rogers-Robles
200649,Massey Inc
200650,Arias-Galvan
200651,Scott-Moore
200652,Jarvis-Roberts
200653,Clay Llc
200654,Quinn
200655,Bentley
200656,Allen
200657,Williams Plc
200658,Griffith Mccullough Mendoza
200659,Meyers-Moore
200660,Blair-Bell
200661,Lester-Fletcher
200662,Rodriguez Llc
200663,Llc Baldwin
200664,Riley Plc
200665,Snyder-Perry
200666,Perez-Carlson
200667,Richardson Mccormick
200668,Cruz
200669,Underwood-Mcguire
200670,Galvan
200671,Lopez Salazar
200672,Fisher-Perez
200673,Maldonado Anderson
200674,Adkins
200675,Ruiz Plc
200676,Ltd Watts
200677,Martinez Sons
200678,Harrington-Marshall
200679,Robbins Inc
200680,Conway George
200681,Huff
200682,Rodriguez-Arnold
200683,Mcclure Shields
200684,Charles Llc
200685,Morgan-Young
200686,Leonard
200687,Plc Fox
200688,Bell Preston Washington
200689,Llc Hernandez
200690,Steele Plc
200691,Gonzalez Huff
200692,Allen-Perez
200693,Alexander Crawford Graham
200694,Moyer-Lamb
200695,Taylor-Wilson
200696,Plc Sutton
200697,Sons Sanders
200698,Gentry
200699,Haynes-Silva
200700,Koch Harper
200701,Duffy-Jackson
200702,Brown-Diaz
200703,Mcdaniel-Castaneda
200704,Lyons Llc
200705,Plc French
200706,Llc Coleman
200707,Tucker-Warren
200708,Wang-Hill
200709,White West Herman
200710,Inc Newton
200711,Huerta-Sanchez
200712,Snyder-Parrish
200713,Inc Bryant
200714,Williams Inc
200715,Smith White
200716,Ryan
200717,Williams Dillon White
200718,Vargas-Cohen
200719,Gardner Group
200720,Garcia-Blake
200721,Castaneda-Tran
200722,Kim-Ibarra
200723,Boyer-Burgess
200724,Cross Ltd
200725,Patel Payne
200726,Young
200727,Group Santana
200728,Cook
200729,Martin-Rice
200730,Rios Price
200731,Barnes-Williams
200732,Hardy-Gutierrez
200733,Cole Llc
200734,White-Rowe
200735,Rodriguez Harris
200736,Santana Garcia
200737,Collins-Lozano
200738,Brown-Clark
200739,Mcmahon
200740,Kim
200741,Gomez-Smith
200742,Hall Lee Bailey
200743,Brennan Bentley
200744,Hunter
200745,Reed
200746,Walsh
200747,Howell
200748,Jennings
200749,Haney-Marshall
200750,Rich
200751,Roach
200752,Petty Rubio
200753,Morse
200754,Hudson Williams
200755,Kane
200756,Dickson Schwartz
200757,Inc Mccullough
200758,Taylor-Wong
200759,Avery-Roy
200760,Llc Anderson
200761,Castaneda-Young
200762,Thomas Strong
200763,Wells-Price
200764,Rios Ltd
200765,Vincent-Hill
200766,Brooks Llc
200767,Group Carpenter
200768,Henderson Carpenter
200769,Barrett
200770,Mcdaniel-Walsh
200771,Ross-Jones
200772,Mathews
200773,Lawrence
200774,Williams Thomas
200775,Wilkerson Group
200776,Villanueva-Garcia
200777,Duffy-Bowman
200778,Tyler-Velasquez
200779,James Inc
200780,Montgomery-Jones
200781,Montgomery-Anthony
200782,Davis-Padilla
200783,Ellison-Hayden
200784,Long-Lee
200785,Graves Llc
200786,Sons Dixon
200787,Clark
200788,Garza Tate
200789,Bates Inc
200790,Llc Sanford
200791,Harper Sons
200792,Young Mcclain
200793,Newman
200794,Cain
200795,Zamora-Rivers
200796,Perez Smith
200797,Johnson-Wilson
200798,Delacruz-Chavez
200799,Gonzalez
200800,Warren Moore
200801,Ramirez-Humphrey
200802,Sons Ford
200803,Wells
200804,Thomas Kline
200805,Wood-Herring
200806,Wilkerson Llc
200807,Brown-Henry
200808,Sheppard-Livingston
200809,Golden Plc
200810,Bennett Townsend
200811,Benson Harris
200812,Clay
200813,Morton Cunningham
200814,Anderson-Estrada
200815,Sons Carlson
200816,Gonzalez Inc
200817,Schaefer-Hoffman
200818,Vargas Reynolds Evans
200819,Cantu
200820,Tanner Rojas
200821,Thornton
200822,Adams Mccarty
200823,Cantrell-Griffith
200824,Martin Group
200825,Sons Nelson
200826,Ramirez-Hill
200827,Jackson-Butler
200828,Miller-Avila
200829,Reyes-Crawford
200830,Marshall-Smith
200831,Peterson Matthews Robinson
200832,Nelson Plc
200833,Perez-Mitchell
200834,Gross
200835,Thompson Smith
200836,Hamilton Group
200837,Shaw Llc
200838,Day
200839,Lewis Coleman
200840,Stone-Perez
200841,Ltd Foley
200842,Ward-Mayer
200843,Group Anderson
200844,Marshall Maxwell
200845,Inc Martinez
200846,Mcmahon Ortiz
200847,Owens
200848,Williams-Saunders
200849,Spencer Ltd
200850,Mathis-Schwartz
200851,Romero-Ramsey
200852,Avery
200853,Ltd Richardson
200854,Sons Williams
200855,Carter-Reyes
200856,Llc Gray
200857,Gonzalez Anderson Jacobson
200858,Miller Massey Lopez
200859,Taylor Walsh Hawkins
200860,Llc Brown
200861,Nelson-Wong
200862,Llc Berry
200863,Anderson-Jenkins
200864,Williams
200865,Gonzalez-Cummings
200866,Richardson Webster Smith
200867,Hudson-Flores
200868,Inc Rios
200869,Plc Thompson
200870,Rosario Wells
200871,Roberts
200872,Ramirez-Taylor
200873,Murphy-Mason
200874,Edwards Johnson
200875,Burgess
200876,Llc Spears
200877,Perez-Smith
200878,Sons Mcbride
200879,Chapman
200880,Cole-Davila
200881,Pearson
200882,Lynch Oconnor
200883,Rivera-Peck
200884,Hess-White
200885,Fox
200886,Moreno Williams
200887,Johnson-Estrada
200888,Rivera-Mosley
200889,Diaz Smith Johnson
200890,Harris-Ingram
200891,Esparza Sons
200892,Hunt Sons
200893,Foster Lamb
200894,Graham
200895,Sanchez Llc
200896,Fox-Anthony
200897,Fuentes Knight
200898,Sandoval
200899,Hudson-Williams
200900,Lowery
200901,Dunn Anderson
200902,Mullen-Hernandez
200903,Herman
200904,Liu
200905,Hill
200906,Davis White
200907,Williams-Jones
200908,Inc Holloway
200909,Phillips Jones
200910,Wu
200911,Molina
200912,Jones-Garrett
200913,James Green
200914,Meadows
200915,Nelson
200916,Owen
200917,Gallegos
200918,Davis Group
200919,Herrera Group
200920,Juarez-Weiss
200921,Dawson-Jones
200922,Hickman Group
200923,Herman-Ewing
200924,Gutierrez Inc
200925,Hurley-Gill
200926,Dillon Plc
200927,Murphy
200928,Garcia Jones
200929,Ramsey-Thomas
200930,Chung Herrera
200931,Pollard
200932,Hernandez Waters
200933,Schmidt Sons
200934,Carroll Orr Kelly
200935,Rose Rivera
200936,Odonnell-Watts
200937,Inc Roberts
200938,Llc Chaney
200939,Hutchinson
200940,Wilson Daniel
200941,Davis-Martin
200942,Thompson Cook Wiggins
200943,Baldwin Plc
200944,Heath-Brown
200945,Mendez
200946,Smith Munoz
200947,Inc Daugherty
200948,Gonzalez Llc
200949,Hunter-Hughes
200950,Woods
200951,Rodriguez Williams
200952,Lowery-Howard
200953,Colon-Leon
200954,Boyle-Woods
200955,Graham Morris
200956,Gonzales
200957,Tucker-Moyer
200958,Stephenson
200959,Hernandez Plc
200960,Dougherty Group
200961,Morgan Zimmerman
200962,Matthews
200963,Jimenez-Huff
200964,Stevenson-Chen
200965,Parker-White
200966,Vang Schneider
200967,Booth-Williams
200968,Gray-Black
200969,Johnson-Garcia
200970,Salinas Terrell Villanueva
200971,Phelps Group
200972,Harrison
200973,Barnett
200974,Fischer Ltd
200975,Rhodes-Kelly
200976,Tate Pierce
200977,Inc Daniel
200978,Roberson Lee Young
200979,Giles-Miller
200980,Snyder Hill
200981,Barber-Page
200982,Hess Delgado Foster
200983,Johnson-Holland
200984,Gonzales Dunn
200985,Camacho
200986,Rodriguez Diaz Daugherty
200987,Rowland-Abbott
200988,Reid Knox
200989,Ryan-Mcneil
200990,Ramos Miller
200991,Sons Cherry
200992,Cook Llc
200993,Phillips Ltd
200994,Oliver Griffin Johnson
200995,Gregory Group
200996,Camacho Thomas Malone
200997,Llc Smith
200998,Cunningham Andrade
200999,Butler
201000,Curtis-Lin
201001,Ltd Smith
201002,Inc Sanchez
201003,Rice
201004,Cooper Rivera
201005,Garcia Llc
201006,Bell Ltd
201007,Hogan
201008,Young Holmes
201009,Vazquez-Sanchez
201010,Mcintyre Ltd
201011,White Roberts
201012,Lee
201013,Simpson Espinoza
201014,Moore Sons
201015,Mclaughlin Powers Stevens
201016,Porter Becker
201017,Bailey-Hunt
201018,Bryant Olsen
201019,Watson Johnson Joseph
201020,Group Evans
201021,Collins Porter
201022,Rodgers
201023,Goodwin
201024,Hernandez Andrade
201025,Solomon Plc
201026,Flores Sons
201027,Lowe Llc
201028,Lopez Keller
201029,Brown-Wood
201030,Martinez-Davis
201031,Alexander-Oconnor
201032,Carlson-Stone
201033,George Ward
201034,Nicholson-Johnson
201035,Plc Carr
201036,Alexander-Middleton
201037,Horton-Martinez
201038,Plc Obrien
201039,Ramos-Holt
201040,Patterson
201041,Velazquez
201042,Jensen
201043,Greene
201044,Mathews-Lawrence
201045,Morales
201046,Ward Taylor
201047,Torres-Johnson
201048,Inc Mcbride
201049,Dunlap
201050,Wright Mays
201051,Sullivan-Crosby
201052,Shaw
201053,Davis Pollard
201054,Williams Llc
201055,Franklin Ltd
201056,Galloway-Barnett
201057,Miller Olson
201058,Wheeler
201059,Miller Burch
201060,Mercer-Booker
201061,Burke Skinner Myers
201062,Parker
201063,Stout Chase
201064,Fernandez Harris
201065,Young-Myers
201066,Johnson Plc
201067,Barber Waters Castillo
201068,Jarvis-Craig
201069,Schneider-Patton
201070,Kane Porter
201071,Robinson
201072,Archer Inc
201073,Castaneda-Powell
201074,Terry
201075,Henry Plc
201076,Hernandez Chang
201077,Santiago-Bush
201078,Williams Hale
201079,Summers
201080,Ltd Carroll
201081,Stevenson
201082,Harding
201083,Munoz Ltd
201084,Kidd Romero
201085,Douglas
201086,Cordova Sons
201087,Garcia-Clark
201088,Robinson Group
201089,Hayes Ryan
201090,Glover
201091,Oneill Miller
201092,Diaz Inc
201093,Martin-Nguyen
201094,Roberts Inc
201095,Riley
201096,Grimes Ruiz
201097,Ltd Rogers
201098,Gomez Inc
201099,Plc Mack
201100,Castro-Gomez
201101,Chan
201102,Goodman
201103,Gould
201104,Russell
201105,Randolph
201106,Evans-Gonzalez
201107,Watts-Schneider
201108,Harrell Inc
201109,Reed Valdez
201110,Pratt
201111,Ali Group
201112,Conner-Nelson
201113,Miller Prince Rodriguez
201114,Parker Davis Clark
201115,Mills-Petersen
201116,Smith Anderson
201117,Kennedy-Smith
201118,Ballard Johnson
201119,Williams Reynolds
201120,Rangel
201121,Shelton Johnson
201122,Green
201123,Howard Morrison
201124,Cortez
201125,Roberts Ltd
201126,Sellers-Shepard
201127,Lloyd Scott
201128,Reese
201129,Gibson-Osborne
201130,Matthews-Morgan
201131,Diaz-Richards
201132,Llc Johnson
201133,Murphy Group
201134,Barajas
201135,Wolf
201136,Salazar Newman White
201137,Hancock-Lewis
201138,Barrett-Wright
201139,Bowers Blankenship Jackson
201140,Hahn-Wilson
201141,Ramirez
201142,Sosa-Jackson
201143,Dillon-Richard
201144,Stokes
201145,Inc Nguyen
201146,Gallagher-Hernandez
201147,Johnson David Carpenter
201148,Montes Marshall Valdez
201149,Plc Kelly
201150,Wilson-Sherman
201151,Peterson Group
201152,Hall-Taylor
201153,Rios Plc
201154,Lutz
201155,Lester
201156,Kelly
201157,Brewer
201158,Sullivan Henderson Lloyd
201159,Rhodes Trujillo
201160,Booth
201161,Bailey-White
201162,Bridges Inc
201163,Jackson Carr
201164,Richardson-Griffin
201165,Allen-Campbell
201166,Ferguson-Liu
201167,Lee Ltd
201168,Baldwin-Marshall
201169,Norman Plc
201170,Boyd-Fisher
201171,Inc Davis
201172,Perry Inc
201173,Brown Larson Moyer
201174,Soto-Boyle
201175,Jones-Ellis
201176,Jenkins
201177,Ho
201178,Villa Inc
201179,Castro Plc
201180,Ortiz-Martin
201181,Anthony-Torres
201182,Plc Drake
201183,Schmidt Ltd
201184,Ortiz-Gardner
201185,Smith-White
201186,Ltd Stewart
201187,James Wilson
201188,Martinez-Elliott
201189,Wright-Nguyen
201190,Johnson Wright Carter
201191,Johnson-Collins
201192,Olsen Llc
201193,Smith Llc
201194,Rodriguez-Morgan
201195,Ltd Bell
201196,Thompson Mccall
201197,Brooks
201198,Castillo Llc
201199,Torres Group
201200,Lee Klein
201201,Baker Rasmussen
201202,Owens-Adkins
201203,Plc Lewis
201204,Brennan-Walters
201205,Mcdonald Taylor
201206,Pitts
201207,Martin Llc
201208,Huang-Blanchard
201209,Marks
201210,Horton
201211,Haynes Miller
201212,Garcia Woodward
201213,Kennedy Sons
201214,Inc Anderson
201215,Armstrong Everett
201216,Mclaughlin-Jenkins
201217,Parks Plc
201218,Hendrix
201219,Berger Perry
201220,Calhoun
201221,Evans-Molina
201222,Sons Tucker
201223,Group Holder
201224,Lawrence Plc
201225,Smith Ltd
201226,Howe-Smith
201227,Plc Vargas
201228,Ray Wood Barrett
201229,Davis Moore Bartlett
201230,Barton-Johnson
201231,Salas-Farmer
201232,Neal
201233,Roberson Hicks
201234,Howard Sons
201235,Morris Mullins
201236,Rodriguez-Howard
201237,Martin Ltd
201238,Jordan-Hood
201239,Fox-Singleton
201240,Holland
201241,Daniels Brennan
201242,Sanchez-Green
201243,Brown Llc
201244,Pacheco-Morris
201245,Odonnell
201246,Kelly Mejia
201247,Zimmerman-Schneider
201248,Hoover Rodriguez
201249,Fuller Sons
201250,Sons Bonilla
201251,Gordon Lee Yang
201252,Llc Howard
201253,Shields Williams
201254,James
201255,Moore-Sanders
201256,Massey Norton
201257,Herring-Smith
201258,Plc Hale
201259,Parker Jackson
201260,Parsons Petersen
201261,Mckenzie
201262,Guerrero-Jordan
201263,Lee Pugh
201264,Orozco
201265,Payne Parker
201266,Hernandez Mckinney Li
201267,Hancock Ltd
201268,Mitchell Brown
201269,Garcia-Martinez
201270,Douglas-Diaz
201271,Ltd Tran
201272,Foster Cooper
201273,Hunter Inc
201274,Sons Flores
201275,Green Group
201276,Gibbs
201277,Powell
201278,Gomez
201279,Espinoza
201280,Sons Martin
201281,Hernandez-Pearson
201282,Harrison-Robles
201283,Ltd Guerra
